postcode, ra_category, ra_name
7116, 2, Outer Regional Australia
7117, 2, Outer Regional Australia
7119, 2, Outer Regional Australia
7120, 2, Outer Regional Australia
7139, 3, Remote Australia
7140, 1, Inner Regional Australia
7150, 2, Outer Regional Australia
7155, 2, Outer Regional Australia
7162, 2, Outer Regional Australia
7163, 2, Outer Regional Australia
7170, 1, Inner Regional Australia
7171, 1, Inner Regional Australia
7172, 1, Inner Regional Australia
7173, 1, Inner Regional Australia
7174, 2, Outer Regional Australia
7175, 2, Outer Regional Australia
7176, 2, Outer Regional Australia
7177, 2, Outer Regional Australia
7178, 2, Outer Regional Australia
7179, 2, Outer Regional Australia
7180, 2, Outer Regional Australia
7182, 2, Outer Regional Australia
7183, 2, Outer Regional Australia
7184, 2, Outer Regional Australia
7185, 2, Outer Regional Australia
7186, 2, Outer Regional Australia
7187, 2, Outer Regional Australia
7190, 2, Outer Regional Australia
7209, 2, Outer Regional Australia
7210, 2, Outer Regional Australia
7211, 2, Outer Regional Australia
7212, 1, Inner Regional Australia
7213, 2, Outer Regional Australia
7214, 2, Outer Regional Australia
7215, 2, Outer Regional Australia
7216, 2, Outer Regional Australia
7248, 1, Inner Regional Australia
7249, 1, Inner Regional Australia
7250, 1, Inner Regional Australia
7252, 2, Outer Regional Australia
7253, 2, Outer Regional Australia
7254, 2, Outer Regional Australia
7255, 4, Very Remote Australia
7256, 4, Very Remote Australia
7257, 4, Very Remote Australia
7258, 1, Inner Regional Australia
7259, 2, Outer Regional Australia
7260, 2, Outer Regional Australia
7261, 2, Outer Regional Australia
7262, 2, Outer Regional Australia
7263, 2, Outer Regional Australia
7264, 2, Outer Regional Australia
7265, 2, Outer Regional Australia
7267, 2, Outer Regional Australia
7268, 2, Outer Regional Australia
7270, 2, Outer Regional Australia
7275, 2, Outer Regional Australia
7276, 2, Outer Regional Australia
7277, 1, Inner Regional Australia
7290, 1, Inner Regional Australia
7291, 1, Inner Regional Australia
7292, 2, Outer Regional Australia
7300, 1, Inner Regional Australia
7301, 1, Inner Regional Australia
7302, 2, Outer Regional Australia
7303, 2, Outer Regional Australia
7304, 2, Outer Regional Australia
7305, 2, Outer Regional Australia
7306, 2, Outer Regional Australia
7307, 2, Outer Regional Australia
7310, 1, Inner Regional Australia
7315, 2, Outer Regional Australia
7316, 2, Outer Regional Australia
7320, 2, Outer Regional Australia
7321, 2, Outer Regional Australia
7322, 2, Outer Regional Australia
7325, 2, Outer Regional Australia
7330, 2, Outer Regional Australia
7331, 2, Outer Regional Australia
7466, 3, Remote Australia
7467, 3, Remote Australia
7468, 3, Remote Australia
7469, 3, Remote Australia
7470, 3, Remote Australia
